,title,year,is_Chinese_paper_lingua_f
912665,Finding vulnerable pairing-friendly curves for FR-reduction over finitefields of characteristic 2,2016.0,English
2175135,Enabling Access to the Confined Optical Field to Achieve High-Quality Plasmon Sensing,2015.0,English
173921,Three-dimensionally ordered macroporous CeO2-supported Pd@Co nanoparticles: Highly active catalysts for methane oxidation,2016.0,English
773951,Fiber Alignment and Liquid Crystal Orientation of Cellulose Nanocrystals in the Electrospun Nanofibrous Mats,2017.0,English
57737,EXISTENCE OF SOLUTIONS FOR (k; n-k-2) CONJUGATE BOUNDARY-VALUE PROBLEMS AT RESONANCE WITH dim kerL = 2,2013.0,English
293588,"Quantitative Microbial Risk Assessment to Estimate the Health Risk in Urban Drinking Water Systems of Mysore, Karnataka, India",2015.0,English
533519,RCP4.5情景下气候变化对中国春小麦生育期及种植界线的影响研究(英文),2016.0,Chinese
1841899,Photonics-Based Wideband Microwave Phase Shifter,2017.0,English
1496752,Zwitterion-functionalized polymer microspheres-based solid phase extraction method on-line combined with HPLC–ICP-MS for mercury speciation,2019.0,English
405738,FUT4过表达促进胚胎细胞与子宫内膜细胞的黏附,2011.0,Chinese
476038,不同时间尺度下旅游者重游意愿的影响机制研究——以西塘古镇为例,2016.0,Chinese
658093,Intrinsic uniaxial stress induced by co-doping and its influence on piezoelectric performance of PbZr0.45Ti0.55O3 ferroelectric,2018.0,English
1096953,优质教育资源对杭州学区房价格影响研究,2014.0,Chinese
1792172,Transmission of 3-Gb/s uncompressed HD video in a optoelectronic- oscillator-based radio over fiber link,2013.0,English
848058,"Vortex Filaments in Grids for Scalable, Fine Smoke Simulation",2015.0,English
361301,鸭坦布苏病毒E蛋白中和性单克隆杭体的制备,2012.0,Chinese
2053231,Topology Optimization for the Design of Conformal Cooling System in Thin-wall Injection Molding Based on BEM,2018.0,English
1747056,粒径控制对好氧颗粒污泥处理高含氮废水的影响,2016.0,Chinese
1927519,零售商主导型供应链渠道管理与悖论机制分析,2014.0,Chinese
175458,A critical theoretical study on linear and nonlinear optical properties of macrocyclic thiophene derivatives with different connecting pi-conjugated bridge and ring size,2012.0,English
1983121,&lt;span style=&quot;color:black;font-family:楷体;font-size:12pt;&quot;&gt;重症中暑肠淋巴激活血管内皮细胞炎性活性的研究&lt;/span&gt;,2014.0,Chinese
1394468,多功能纳米载体调控肿瘤细胞信号通路及其应用,2015.0,Chinese
1591375,秸秆类生物质热解的热重-红外联用分析,2015.0,Chinese
191091,Rhodium(III)-Catalyzed Alkenylation Reactions of 8-Methylquinolines with Alkynes by C(sp(3))-H Activation,2014.0,English
1621054,Genetic impacts induced by BaP and Pb in Mytilus coruscus: Can RAPD be a validated tool in genotoxicity evaluation both in vivo and in vitro?,2018.0,English
831995,超精密飞切加工表面生成影响因素研究,2015.0,Chinese
2076545,Modulation of LSD1 phosphorylation by CK2/WIP1 regulates RNF168-dependent 53BP1 recruitment in response to DNA damage,2015.0,English
272922,Advances in Photofunctional Dendrimers for Solar Energy Conversion,2014.0,English
576547,Thermal and Flow Field in a Single Board Compute Cabin System Using CFD Analysis,2014.0,English
1660248,激光冲击强化对TC17钛合金微观组织和力学性能的影响,2014.0,Chinese
2027501,Genomic study of the Type IVC secretion system in Clostridium difficile:      understanding C. difficile evolution via horizontal gene transfer.,2017.0,English
463978,地形横向密度扰动对区域大地水准面的影响,2012.0,Chinese
2081844,Observations of Pc2 waves by Cluster and ground stations in Antarctica,2013.0,English
1041480,Single-frequency computational imaging using OAM-carrying electromagnetic wave,2017.0,English
816698,Blind system identification of two-thermocouple sensor based on cross-relation method,2018.0,English
2278271,Image segmentation based on iterative self-organizingdata clustering threshold of PCNN.,2016.0,English
1134815,经济集聚的工资效应和经济增长效应研究——基于地区收入差异及门槛回归的检验,2014.0,Chinese
851629,Low-Complexity and High-Efficiency Background Modeling For Surveillance Video Coding,2012.0,English
1055638,Topology and Control of a Split-Capacitor Four-Wire Current Source Inverter With Leakage Current Suppression Capability,2018.0,English
709645,"1,10-phenanthroline metal complex covalently bonding to poly- (pyrrole-3-carboxylic acid)-coated carbon: An efficient electrocatalyst for oxygen reduction",2015.0,English
1235879,长链非编码RNA CCAT1对前列腺癌PC-3细胞增殖、迁移及凋亡的影响,2017.0,Chinese
1676646,Dynamic responses of a three-span continuous girder bridge with variable cross-section based on vehicle–bridge coupled vibration analysis,2015.0,English
1121050,An evolutionary modeling approach for designing a contractual REDD plus payment scheme,2017.0,English
1899716,Method for detecting text information leakage in electromagnetic radiation from a computer display,2016.0,English
2254709,多元稀土对半固态A356合金初生α相多重细化的研究,2014.0,Chinese
1184951,New prospects for spinal cord microvasculature imaging: From 2D to 3D,2015.0,English
2245578,Influences of non-coaxial magnetic field on magneto-mechanical effect of ferromagnetic steel,2017.0,English
472604,"Influence of dry and wet seasons on disintegration characteristics of basalt residual soil from the Leizhou Peninsula, China",2018.0,English
1775076,铁基粉末温压过程中的致密化,2014.0,Chinese
1925470,关于行政事业单位内部控制信息披露的探讨——基于国家治理的视角,2015.0,Chinese
2188756,A reversible fluorescent chemosensor for Fe~(3+) and H_2PO_4~- with “on-off-on” switching in aqueous media,2014.0,English
2006902,Type I Interferon Inhibition of MicroRNA-146aMaturation Through Up-Regulation of Monocyte Chemotactic Protein–InducedProtein 1 in Systemic Lupus Erythematosus,2015.0,English
814893,Comparative studies on the impact behavior of two reinforced cobcrete blocks using FEM and APH methods,2017.0,English
876948,Guaranteed cost fuzzy state observer design for semilinear parabolic PDE systems under pointwise measurements,2017.0,English
1744817,Combinational strategy for high-performance cancer chemotherapy,2018.0,English
20203,High-sensitive and stretchable resistive strain gauges: Parametric design and DIW fabrication,2019.0,English
376871,"Lincosamides, Streptogramins, Phenicols, and Pleuromutilins: Mode of Action and Mechanisms of Resistance",2016.0,English
726018,NaNbO3 templates-induced phase evolution and enhancement of electromechanical properties in  grain oriented lead-free BNT-based piezoelectric materials,2017.0,English
2142302,Boosting Mobile Apps under Imbalanced Sensing Data,2015.0,English
224340,A facile and efficient method for the synthesis of polyhydroxylated quinolizidines from 2-C-acetonyl azasugar,2014.0,English
2090641,Observations of air quality on the outskirts of an urban agglomeration during the implementation of pollution reduction measures,2014.0,English
1885949,Ear Recognition Based on Gabor Features and KFDA,2014.0,English
1474256,Study of Photocatalytic Activities with Copper Hydroxyphosphate,2011.0,English
1474906,Decoration of Cu2O photocathode with protective TiO2 and active WS2 layers for enhanced photoelectrochemical hydrogen evolution,2018.0,English
1546748,Synthesis and antitumor evaluation in vitro of 5-Bromo-N-Phenyl substituted isatin derivatives,2014.0,English
2192280,Paratocarpin B的全合成,2012.0,Chinese
35642,Silicon-based current-controlled reconfigurable magnetoresistance logiccombined with non-volatile memory,2015.0,English
177143,Mediation of valence band maximum of BiOI by Cl incorporation for improved oxidation power in photocatalysis,2016.0,English
246610,Identification of Alkenyl- and Arylpalladium Hydrides with the Aid of Hydrosilanes,2013.0,English
610655,分段进水SBR处理低C/N值含盐废水的脱氮效果,2013.0,Chinese
2130913,Output Feedback Control of Multirate Sampled-Data Systems With Frequency Specifications,2017.0,English
1537607,"Characterization and fine mapping of NGP4c(t), a novel gene controlling the number of grains per panicle in rice",2015.0,English
775582,Thermally stable electrostrains of morphotropic 0.875NaNbO(3)-0.1BaTiO(3)-0.025CaZrO(3) lead-free piezoelectric ceramics,2017.0,English
1386794,Interstitial boron doping effects on the electronic and magnetic properties of graphitic？carbon nitride materials,2014.0,English
121621,Realization of Lieb lattice in covalent-organic frameworks with tunable topology and magnetism,2020.0,English
652957,Synthesis and tribological properties of hexagonal NbSe2 nanoplates,2013.0,English
180596,Compositesof Carbon Nanomaterials and Conjugated Polymers: Preparation and Properties,2016.0,English
996722,A Bayesian Posterior Updating Algorithm in Reinforcement Learning,2017.0,English
2079349,Feedback regulation of DYT1 by interactions with downstream bHLH factors promotes DYT1 nuclear localization and anther development,2016.0,English
1712973,A new approach to interpreting the parabolic and non-parabolic oxidation behaviour of hot-pressed beta-SiAlON ceramics,2012.0,English
336877,Sleep deprivation affects fear memory consolidation: bi-stable amygdala connectivity with insula and ventromedial prefrontal cortex,2018.0,English
1531728,巨噬细胞炎症蛋白-1γ对胰腺癌BxPC-3 细胞迁移和侵袭的影响,2017.0,Chinese
951048,Observability of Automata Networks: Fixed and Switching Cases,2018.0,English
2237189,水深梯度对苦草生长和生物量的影响,2014.0,Chinese
1494517,3D Au-decorated BiMoO6 nanosheet/TiO2 nanotube array heterostructure with enhanced UV and visible-light photocatalytic activity,2017.0,English
190952,Schiff-Base TwoDimensional Covalent Organic Frameworks via on-Surface Coupling,2015.0,English
446582,Generation of two transgenic amphioxus lines using the Tol2 transposon system,2018.0,English
1420639,Response of aramid honeycomb sandwich panels subjected to intense impulse loading by Mylar flye,2017.0,English
559617,塔里木盆地库鲁克塔格地区下寒武统无机碳酸盐/有机碳同位素分布特征,2013.0,Chinese
2304321,男性慢性乙型肝炎患者肝细胞脂肪变危险因素分析,2014.0,Chinese
456492,Analysis of water vapor characteristics of regional rainfall around Poyang Lake using ground-based GPS observations,2016.0,English
108931,Universal flux-fluctuation law in small systems,2014.0,English
462770,基于产业空间组织理论和空间计量方法的城市酒店区位研究,2011.0,Chinese
941281,Reliability of Non-Coherent Warm Standby Systems With Reworking,2015.0,English
1415534,热电发电技术回收钢铁工业余热节能潜力分析,2013.0,Chinese
1324769,人良性前列腺增生组织中基底细胞去分化与雌激素受体&alpha;表达的关系,2013.0,Chinese
1619107,Research of influence of sample size on normal information diffusion based on the Monte Carlo method: risk assessment for natural disasters,2018.0,English
590377,波传播法求解低频激励下水中加端板圆柱壳振动,2014.0,Chinese
1182156,Quantitative CT analysis of pulmonary pure ground-glass nodule predicts histological invasiveness,2017.0,English
2273734,Influence Maximization for Cascade Model with Diffusion Decay in Social Networks,2016.0,English
1444626,Determination of inorganic anions in saliva by electroosmotic flowcontrolled counterflow isotachophoretic stacking underfield-amplified sample injection,2013.0,English
1480082,"Sources identification and pollution evaluation of heavy metals in the surface sediments of Bortala River, Northwest China",2016.0,English
1552847,Trans-Kingdom RNA Silencing in Plant-Fungal Pathogen Interactions,2018.0,English
317466,High efficiency microwave-assisted synthesis of quinoline from acrolein diethyl acetal and aniline utilizing Ni/Beta catalyst,2018.0,English
1798343,Multi-objective ant colony optimization based on the physarum-inspired mathematical model for bi-objective traveling salesman problems,2016.0,English
1781725,覆盖粗糙模糊集的不确定性研究,2014.0,Chinese
916254,基于FRM的偶型排列信道化改进结构,2016.0,Chinese
1631619,Structural time-varying damage detection by using synchrosqueezing wavelet transform,2015.0,English
1685735,3D Simulation of Self-Compacting Concrete Flow Based on MRT-LBM,2018.0,English
1934701,含供应商竞争的寄售供应链运营决策,2013.0,Chinese
737960,一级公路非信号控制路口远引掉头选位研究,2013.0,Chinese
2074908,Gossypium barbadense genome sequence provides insight into the evolution of extra-long staple fiber and specialized metabolites,2015.0,English
497607,Probabilistic strength-reduction stability analysis of slopes accounting for 2-D spatial variation,2013.0,English
1172492,骨质疏松症靶向治疗药物的研究进展,2017.0,Chinese
1600154,Characteristics of the landslide dams induced by the 2008 Wenchuan earthquake and dynamic behavior analysis using large-scale shaking table tests,2015.0,English
139432,Radiation efficiency of damped plates under tubrbulent boundary layer excitation,2015.0,English
839497,钛酸四丁酯掺杂对6芯MgB_2线材微观结构以及超导电性的影响,2014.0,Chinese
423001,Ecogeographicalvariation of 12 morphological traits within Pinus tabulaeformis: the effects ofenvironmental factors and demographic histories,2016.0,English
2205829,新疆红地球葡萄叶中五种成分含量的测定,2015.0,Chinese
1153852,多线路公交停靠站的设置研究,2011.0,Chinese
1691232,Influence of off-axis ply orientation on the axial compression behaviour of CFRP tubes,2017.0,English
2246005,Effects of Li2SO4·H2O amounts on morphologies of hydrothermal synthesized LiMnPO4 cathodes,2016.0,English
746781,用于前向光散射颗粒粒度测量的基函数Tikhonov正则化算法,2016.0,Chinese
401968,Modification of APMP fibers using3-chloro-2-hydroxypropyl trimethylammonium chloride(CHTAC ) and its influence on pulp properties,2015.0,English
2098471,Precision forging technology for aluminum alloy,2018.0,English
923795,弱条件下非精确牛顿法的半局部收敛性分析,2012.0,Chinese
1813363,Zeroing neural-dynamics approach and its robust and rapid solution for parallel robot manipulators against superposition of multiple disturbances,2017.0,English
796226,Free acetic acid as the key factor for the inhibition of hydrogenotrophic methanogenesis in mesophilic mixed culture fermentation,2018.0,English
1770862,Impact of TbF3 diffusion on coercivity and microstructure in sintered Nd-Fe-B magnets by electrophoretic deposition,2016.0,English
1665928,建筑围护结构内部设计风荷载研究,2016.0,Chinese
406776,"Thirteen new species of the spider genus Pholcus Walckenaer, 1805 (Araneae: Pholcidae) from China",2016.0,English
167359,Abatement of perfluorocarbons in Teflon-mannufacturing wastewater with photo-reduction method,2013.0,English
1663534,基于卸荷和抗震分析理论的大岗山坝肩边坡锚固优化研究,2012.0,Chinese
1480577,Synthesis and properties of anion exchange membranes derived from quaternary poly(ether sulfone)s,2013.0,English
1905300,Quantum blind dual-signature scheme based on cluster states,2017.0,English
740282,Thermodynamic mechanism for direct alloying of immiscible tungsten and copper at a critical temperature range,2018.0,English
661034,A crossbeam linear ultrasonic motor using bending vibrations,2015.0,English
1700493,基于系统动力学的安全注意力专注与衰减研究,2017.0,Chinese
2307807,红芪多糖对早期糖尿病肾病db/db小鼠肾脏保护作用及PKC/TIMP-1表达的影响,2015.0,Chinese
1008474,Modelling and Quantitative Analysis of Tropospheric Turbulence Impacts on GEO SAR Imaging,2018.0,English
1027179,Improving deep neural network acoustic models using unlabeled data,2013.0,English
104188,Effects of light on quantum phases and topological properties of two-dimensional Metal-organic frameworks,2017.0,English
534406,地铁站点商业空间集聚规模成因研究——以广州为例,2013.0,Chinese
1513962,Characterization of specific antigenic epitopes and the nuclear export signal of       the Porcine circovirus 2 ORF3 protein.,2016.0,English
18781,Shadow wave solution for the generalized Langmuir isotherm in chromatography,2016.0,English
2041227,Efficient and stable planar hole-transport-material-free perovskite solar cells using low temperature processed SnO2 as electron transport material,2018.0,English
386596,鼓虾科分类学研究进展,2015.0,Chinese
1442876,Controlled evaporative self-assembly of Fe3O4 nanoparticles assisted by an external magnetic field,2015.0,English
2164440,Prognostic prediction of therapeutic response in depression using high-field MR imaging,2011.0,English
1878480,CNet: Context-Aware Network for Semantic Segmentation,2017.0,English
460581,控制性详细规划调整中的利益相关者诉求研究——以北京市中心城轨道交通站点储备用地的规划调整为例,2014.0,Chinese
1090948,财政分权背景下地方政府科技支出行为研究,2013.0,Chinese
745035,Fabrication and characterization of composition-gradient CuO/SiO2 composite aerogel,2013.0,English
1653785,Evaluation of a diagnostic equation for the daily maximum urban heat island effect,2017.0,English
353419,"Economical challenges to microbial producers of butanol: Feedstock, butanol ratio and titer",2011.0,English
1537546,Clonal integration enhances expansion ability of Ipomoea aquatica in aquatic–terrestrial ecotones,2016.0,English
1842979,An Integrated Graph-based Face Segmentation Approach from Kinect Videos,2013.0,English
542601,纳米技术的潜在风险研究进展,2015.0,Chinese
2193308,Theoretical discussions on the influence of introduction of halogen atom on photovoltaic property of perylene bisimide,2014.0,English
1551892,Transcriptome Characterization of the Chinese Fir (Cunninghamia lanceolata (Lamb.) Hook.) and Expression Analysis of Candidate Phosphate Transporter Genes,2017.0,English
839425,上海的城市更新与历史建筑保护,2017.0,Chinese
1005666,基于实时系统的多功能微波自动测量仪研制,2014.0,Chinese
2161704,Experimental Study on Flame‒Flame Interaction and Its Merging Features Induced by Double Rectangular Propane Diffusion Burners with Various Aspect Ratios,2019.0,English
2063021,"An integration of condensation/Ullmann-type coupling/bicyclization sequences: copper-catalyzed three-component direct synthesis of [1,2,4]triazolo[1,5-b]isoquinolin-5(1H)-ones",2014.0,English
940813,Study on the contagion among American industries,2016.0,English
717096,Effective and efficient detection of pH fluctuations based on ratiometric metallic-ciprofloxacin architectures,2018.0,English
1487856,Soft-Template Synthesis of Mesoporous Anatase TiO2 Nanospheres and Its Enhanced Photoactivity,2017.0,English
1754522,Energy transfer mechanisms of quantum cutting near infrared luminescence in Ho3&amp;#xa0;+/Yb3&amp;#xa0;+ co-doped Y2O3 transparent ceramics,2014.0,English
140887,Quantum phase transition of light in a one-dimensional photon-hopping-controllable resonator array,2011.0,English
2234148,A Class of Delay Differential Variational Inequalities,2017.0,English
2095024,An integrated model for simulating water resources management at regional scale,2014.0,English
1599722,Shale reservoir characteristics and exploration potential in the target_ A case study in the Longmaxi Formation from the southern Sichuan Basin of China,2016.0,English
852096,Network Flow Based Cut Redistribution and Insertion for Advanced 1D Layout Design,2017.0,English
809267,丹江口水库对汉江下游水文过程的影响分析,2015.0,Chinese
1137760,再制造过程中再制造品的质量选择及其影响,2012.0,Chinese
1207729,Genetic profile characterization and population study of 21 autosomal STR in      Chinese Kazak ethnic minority group.,2014.0,English
188004,Electrochemical performance and detection of 8-Hydroxy-2'-deoxyguanosine at      single-stranded DNA functionalized graphene modified glassy carbon electrode.,2015.0,English
613327,基于线性二次型调节器的三相逆变器积分？状态反馈控制,2013.0,Chinese
335315,1AT模体结合因子&amp;nbsp;(ATBF1)基因新的遗传变异显著影响山羊生长发育性状,2014.0,Chinese
641443,Audio-based Bolt-loosening Detection Technique of Bolt Joint,2018.0,English
1747454,The zinc-rich corner of the Zn-Fe-Al-P quaternary system at 450 degrees C,2012.0,English
2174682,Effect of rescattering potential on the high-energy above-threshold ionization of a model-H atom,2016.0,English
154796,Eﬃcient and high colour-purity green-light polymer light-emitting diodes (PLEDs) based on a PVK-supported Tb3+-containing metallopolymer,2017.0,English
1551189,溪流鱼类群落对低水头坝的大小及功能的响应——以皖南 山区河源溪流为例,2018.0,Chinese
1094720,以电代煤的经济与环境效益分析,2017.0,Chinese
1059974,Laser-induced synthesis of Ag nanoparticles on the silanized surface of a fiber taper and applications as a SERS probe,2015.0,English
1056743,Compressing Encrypted Image Using Compressive Sensing,2011.0,English
943304,Multiple Description Video Coding Using Correlation Optimized Temporal Samplin,2013.0,English
243758,Stochastic surface walking method for crystal structure and phase transition pathway prediction,2014.0,English
1999380,三维医学图像配准在图像引导放疗中的应用,2013.0,Chinese
1989197,清开灵眼用凝胶对大鼠实验性自身免疫性葡萄膜炎的治疗作用及其机制,2014.0,Chinese
585218,Facile and scalable synthesis of magnetite/carbon adsorbents by recycling discarded fruit peels and their potential usage in water treatment,2017.0,English
638131,Superhydrophobic surfaces cannot reduce ice adhesion,2012.0,English
2067709,An efficient method for computing excess free energy of liquid,2018.0,English
21348,Influences of surface and interface energies on the nonlinear vibration of laminated nanoscale plates,2017.0,English
2056612,Effects of the spacer length of gemini surfactants on the ordered pore of silica,2012.0,English
1154139,Discovering Academic Communities and Their Research Interests,2015.0,English
1372607,Topological quantum phase transition in bond-alternating spin-1/2 Heisenberg chains,2013.0,English
24344,Positive solution for higher-order singular infinite-point fractional differential equation with p-Laplacian,2016.0,English
471644,Annual accounting of net greenhouse gas balance response to biochar addition in a coastal saline bioenergy cropping system in China,2016.0,English
680410,基于SOM-RBF算法的瓦斯涌出量动态预测模型研究,2015.0,Chinese
1476494,Metal-organic frameworks based on flexible ligands (FL-MOFs): structures and applications,2014.0,English
1846305,The application of the electric field modulation and charge shielding effects to the High Voltage Si LDMOS,2012.0,English
830531,Efficient Solution to Electromagnetic Scattering Problems of Bodies ofRevolution by Compressive Sensing,2016.0,English
744666,利用水文模型研究下垫面变化对洪水的影响,2012.0,Chinese
79249,Stochastic optimal semi-active control of stay cables by using magneto-rheological damper,2011.0,English
267152,"Determination of hexachlorobutadiene, pentachlorobenzene, and hexachlorobenzene in waste incineration fly ash using ultrasonic extraction followed by column cleanup and GC-MS analysis",2018.0,English
1367208,Infinitely many solutions to a linearly coupled Schr？dinger system with non-symmetry potentials,2015.0,English
1990482,NUMB negatively regulates the epithelial-mesenchymal transition of triple-negative breast cancer by antagonizing Notch signaling,2016.0,English
2128771,Robust adaptive fault-tolerant control of multi-agent systems with uncertain non-identical dynamics and undetectable actuation failures,2015.0,English
1597033,两湖平原地下水微动态影响因素相关性分析,2015.0,Chinese
1596722,水下地磁匹配导航定位关键技术研究,2013.0,Chinese
825274,Highly efficient sorption of perfluorooctane sulfonate and perfluorooctanoate on a quaternized cotton prepared by atom transfer radical polymerization,2012.0,English
1189107,Nrf2 knockdown attenuates the ameliorative effects of ligustrazine on hepatic fibrosis by targeting hepatic stellate cell transdifferentiation,2016.0,English
1510449,Enhanced Stability and Photothermal Effect in the rGO/Au-Nanoprisms Hybrids,2014.0,English
490939,Design and Implementation of a POI collection and management system based on public map service,2016.0,English
1218456,"脂多糖和(1,3)-β-D葡聚糖与克罗恩病疾病活动度的关系",2015.0,Chinese
1660247,Experiment investigation of laser shock peening on TC6 titanium alloy to improve high cycle fatigue performance,2014.0,English
1995909,Prevention of gallstones by Lidan Granule: Insight into underlying mechanisms using a guinea pig model,2016.0,English
295337,Basic ionic liquid-catalyzed one-pot synthesis of the spiroacenaphthylene derivatives in water medium,2012.0,English
1772081,Effect of non-isothermal deformation of austenite on ferrite transformation behavior studied by in-situ neutron diffraction,2015.0,English
242144,Photoluminescence quenching of [Ru(bpy)2(atatp)]2+ bound to acondensed DNA matrix,2015.0,English
2260429,"六方氮化硼陶瓷的烧结及其结构与性能,,2018,46:807-811.",2018.0,Chinese
555809,海河流域平原型河流栖息地评价,2017.0,Chinese
872447,Inter-frame Forgery Detection for Static-Background Video Based on MVP Consistency,2016.0,English
651131,Thermally induced pore pressure and consolidation volumetric strain for saturated soils,2017.0,English
79705,小行星防御动能撞击效果评估,2017.0,Chinese
878760,Blow-up problems for quasilinear reaction diffusion equations with weighted nonlocal source,2017.0,English
424799,Interval and continuous exercise overcome memory deficits related to beta-Amyloid accumulation through modulating mitochondrial dynamics.,2019.0,English
35712,Quasi-metrizability of bispacesby weak bases,2013.0,English
262973,The synergistic effect of graphitic N and pyrrolic N for the enhanced photocatalytic performance of nitrogen-doped graphene/TiO2 nanocomposites,2016.0,English
1021918,E-AUA: An Efficient Anonymous User Authentication Protocol for Mobile IoT,2019.0,English
1002764,镱钠共掺氟化钙锁模激光器产生190 fs光脉冲,2012.0,Chinese
287239,A simple method to synthesize V2O5 nanostructures with controllable morphology for high performance Li-ion batteries,2016.0,English
960853,A Study on Performance Sensitivity to Data Sparsity for Automated Essay Scoring,2018.0,English
1217047,Umbilical cord blood transplantation supplemented with the infusion of mesenchymal stem cell for an adolescent patient with severe aplastic anemia: a case report and review of literature,2015.0,English
596550,Construction of optimal dual-tree complex wavelet for bonding quality detection of explosive composite structure,2016.0,English
1458036,&nbsp;超临界CO2体系DFHMA的可控聚合研究：新型RAFT试剂合成及应用,2014.0,Chinese
1000474,A novel polarization splitter in ZnTe tellurite glass three-core photonic crystal fiber,2012.0,English
